isolabel_ext,neighbor_perc,neighbor_isolabel
BR-AC-Acrelandia,18,BR-AM-Labrea
BR-AC-Acrelandia,17,BR-AC-SenadorGuiomard
BR-AC-Acrelandia,16,BR-AC-PlacidoCastro
BR-AC-Acrelandia,9,BR-RO-PortoVelho
BR-AC-AssisBrasil,39,BR-AC-SenaMadureira
BR-AC-AssisBrasil,24,BR-AC-Brasileia
BR-AC-Brasileia,29,BR-AC-AssisBrasil
BR-AC-Brasileia,22,BR-AC-Xapuri
BR-AC-Brasileia,10,BR-AC-Epitaciolandia
BR-AC-Brasileia,6,BR-AC-RioBranco
BR-AC-Brasileia,4,BR-AC-SenaMadureira
BR-AC-Bujari,43,BR-AC-RioBranco
BR-AC-Bujari,28,BR-AC-PortoAcre
BR-AC-Bujari,18,BR-AC-SenaMadureira
BR-AC-Bujari,10,BR-AM-BocaAcre
BR-AC-Capixaba,22,BR-AC-RioBranco
BR-AC-Capixaba,15,BR-AC-Xapuri
BR-AC-Capixaba,12,BR-AC-PlacidoCastro
BR-AC-Capixaba,12,BR-AC-SenadorGuiomard
BR-AC-CruzeiroSul,30,BR-AC-RodriguesAlves
BR-AC-CruzeiroSul,25,BR-AC-PortoWalter
BR-AC-CruzeiroSul,12,BR-AC-Tarauaca
BR-AC-CruzeiroSul,12,BR-AM-Guajara
BR-AC-CruzeiroSul,6,BR-AC-MancioLima
BR-AC-CruzeiroSul,4,BR-AM-Ipixuna
BR-AC-Epitaciolandia,50,BR-AC-Xapuri
BR-AC-Epitaciolandia,21,BR-AC-Brasileia
BR-AC-Feijo,28,BR-AC-Tarauaca
BR-AC-Feijo,19,BR-AC-Jordao
BR-AC-Feijo,18,BR-AC-SantaRosaPurus
BR-AC-Feijo,8,BR-AC-ManoelUrbano
BR-AC-Feijo,7,BR-AM-Envira
BR-AC-Feijo,5,BR-AM-Pauini
BR-AC-Jordao,40,BR-AC-Feijo
BR-AC-Jordao,31,BR-AC-Tarauaca
BR-AC-Jordao,18,BR-AC-MarechalThaumaturgo
BR-AC-MancioLima,27,BR-AC-RodriguesAlves
BR-AC-MancioLima,23,BR-AM-Guajara
BR-AC-MancioLima,10,BR-AC-CruzeiroSul
BR-AC-MancioLima,2,BR-AM-AtalaiaNorte
BR-AC-ManoelUrbano,37,BR-AC-SantaRosaPurus
BR-AC-ManoelUrbano,37,BR-AC-SenaMadureira
BR-AC-ManoelUrbano,11,BR-AC-Feijo
BR-AC-ManoelUrbano,5,BR-AM-BocaAcre
BR-AC-ManoelUrbano,5,BR-AM-Pauini
BR-AC-MarechalThaumaturgo,25,BR-AC-PortoWalter
BR-AC-MarechalThaumaturgo,19,BR-AC-Jordao
BR-AC-MarechalThaumaturgo,6,BR-AC-Tarauaca
BR-AC-PlacidoCastro,29,BR-AC-SenadorGuiomard
BR-AC-PlacidoCastro,15,BR-AC-Acrelandia
BR-AC-PlacidoCastro,11,BR-AC-Capixaba
BR-AC-PortoAcre,32,BR-AC-Bujari
BR-AC-PortoAcre,29,BR-AM-BocaAcre
BR-AC-PortoAcre,23,BR-AC-RioBranco
BR-AC-PortoAcre,17,BR-AC-SenadorGuiomard
BR-AC-PortoAcre,0,BR-AM-Labrea
BR-AC-PortoWalter,42,BR-AC-CruzeiroSul
BR-AC-PortoWalter,30,BR-AC-MarechalThaumaturgo
BR-AC-PortoWalter,15,BR-AC-Tarauaca
BR-AC-RioBranco,27,BR-AC-SenaMadureira
BR-AC-RioBranco,24,BR-AC-Xapuri
BR-AC-RioBranco,19,BR-AC-Bujari
BR-AC-RioBranco,11,BR-AC-SenadorGuiomard
BR-AC-RioBranco,9,BR-AC-PortoAcre
BR-AC-RioBranco,8,BR-AC-Capixaba
BR-AC-RioBranco,4,BR-AC-Brasileia
BR-AC-RodriguesAlves,53,BR-AC-CruzeiroSul
BR-AC-RodriguesAlves,31,BR-AC-MancioLima
BR-AC-SantaRosaPurus,40,BR-AC-ManoelUrbano
BR-AC-SantaRosaPurus,27,BR-AC-Feijo
BR-AC-SenadorGuiomard,27,BR-AC-PlacidoCastro
BR-AC-SenadorGuiomard,25,BR-AC-RioBranco
BR-AC-SenadorGuiomard,16,BR-AC-PortoAcre
BR-AC-SenadorGuiomard,14,BR-AC-Acrelandia
BR-AC-SenadorGuiomard,10,BR-AC-Capixaba
BR-AC-SenadorGuiomard,8,BR-AM-Labrea
BR-AC-SenaMadureira,32,BR-AC-ManoelUrbano
BR-AC-SenaMadureira,26,BR-AC-AssisBrasil
BR-AC-SenaMadureira,20,BR-AC-RioBranco
BR-AC-SenaMadureira,9,BR-AM-BocaAcre
BR-AC-SenaMadureira,6,BR-AC-Bujari
BR-AC-SenaMadureira,2,BR-AC-Brasileia
BR-AC-Tarauaca,38,BR-AC-Feijo
BR-AC-Tarauaca,20,BR-AC-Jordao
BR-AC-Tarauaca,10,BR-AC-CruzeiroSul
BR-AC-Tarauaca,8,BR-AC-PortoWalter
BR-AC-Tarauaca,8,BR-AM-Ipixuna
BR-AC-Tarauaca,7,BR-AM-Envira
BR-AC-Tarauaca,4,BR-AC-MarechalThaumaturgo
BR-AC-Tarauaca,4,BR-AM-Eirunepe
BR-AC-Xapuri,32,BR-AC-RioBranco
BR-AC-Xapuri,23,BR-AC-Epitaciolandia
BR-AC-Xapuri,21,BR-AC-Brasileia
BR-AC-Xapuri,7,BR-AC-Capixaba
BR-AL-AguaBranca,29,BR-AL-Pariconha
BR-AL-AguaBranca,19,BR-AL-OlhoAguaCasado
BR-AL-AguaBranca,16,BR-AL-DelmiroGouveia
BR-AL-AguaBranca,16,BR-AL-MataGrande
BR-AL-AguaBranca,10,BR-AL-Inhapi
BR-AL-AguaBranca,9,BR-PE-Tacaratu
BR-AL-Anadia,22,BR-AL-Maribondo
BR-AL-Anadia,21,BR-AL-CampoAlegre
BR-AL-Anadia,20,BR-AL-BocaMata
BR-AL-Anadia,19,BR-AL-LimoeiroAnadia
BR-AL-Anadia,17,BR-AL-TanqueArca
BR-AL-Anadia,1,BR-AL-Taquarana
BR-AL-Arapiraca,23,BR-AL-LimoeiroAnadia
BR-AL-Arapiraca,16,BR-AL-FeiraGrande
BR-AL-Arapiraca,15,BR-AL-LagoaCanoa
BR-AL-Arapiraca,14,BR-AL-SaoSebastiao
BR-AL-Arapiraca,13,BR-AL-Craibas
BR-AL-Arapiraca,11,BR-AL-Igaci
BR-AL-Arapiraca,9,BR-AL-CoiteNoia
BR-AL-Atalaia,30,BR-AL-Pilar
BR-AL-Atalaia,18,BR-AL-Capela
BR-AL-Atalaia,18,BR-AL-RioLargo
BR-AL-Atalaia,16,BR-AL-Maribondo
BR-AL-Atalaia,10,BR-AL-Murici
BR-AL-Atalaia,6,BR-AL-Cajueiro
BR-AL-Atalaia,2,BR-AL-BocaMata
BR-AL-Atalaia,2,BR-AL-Pindoba
BR-AL-BarraSantoAntonio,36,BR-AL-SaoLuisQuitunde
BR-AL-BarraSantoAntonio,30,BR-AL-Paripueira
BR-AL-BarraSantoAntonio,10,BR-AL-PassoCamaragibe
BR-AL-BarraSantoAntonio,0,BR-AL-Flexeiras
BR-AL-BarraSaoMiguel,36,BR-AL-MarechalDeodoro
BR-AL-BarraSaoMiguel,35,BR-AL-Roteiro
BR-AL-BarraSaoMiguel,10,BR-AL-SaoMiguelCampos
BR-AL-Batalha,30,BR-AL-BeloMonte
BR-AL-Batalha,20,BR-AL-JacareHomens
BR-AL-Batalha,19,BR-AL-Jaramataia
BR-AL-Batalha,16,BR-AL-Traipu
BR-AL-Batalha,15,BR-AL-MajorIsidoro
BR-AL-Belem,44,BR-AL-TanqueArca
BR-AL-Belem,33,BR-AL-Taquarana
BR-AL-Belem,23,BR-AL-PalmeiraIndios
BR-AL-BeloMonte,28,BR-AL-Batalha
BR-AL-BeloMonte,21,BR-AL-Traipu
BR-AL-BeloMonte,18,BR-AL-PaoAcucar
BR-AL-BeloMonte,13,BR-SE-Gararu
BR-AL-BeloMonte,13,BR-SE-PortoFolha
BR-AL-BeloMonte,6,BR-AL-JacareHomens
BR-AL-BocaMata,35,BR-AL-SaoMiguelCampos
BR-AL-BocaMata,26,BR-AL-Pilar
BR-AL-BocaMata,19,BR-AL-Anadia
BR-AL-BocaMata,17,BR-AL-Maribondo
BR-AL-BocaMata,3,BR-AL-Atalaia
BR-AL-Branquinha,46,BR-AL-UniaoPalmares
BR-AL-Branquinha,34,BR-AL-Murici
BR-AL-Branquinha,20,BR-AL-Capela
BR-AL-Cacimbinhas,38,BR-AL-MajorIsidoro
BR-AL-Cacimbinhas,22,BR-AL-EstrelaAlagoas
BR-AL-Cacimbinhas,16,BR-AL-MinadorNegrao
BR-AL-Cacimbinhas,11,BR-AL-DoisRiachos
BR-AL-Cacimbinhas,7,BR-PE-Iati
BR-AL-Cacimbinhas,6,BR-AL-Igaci
BR-AL-Cajueiro,53,BR-AL-Capela
BR-AL-Cajueiro,34,BR-AL-Vicosa
BR-AL-Cajueiro,12,BR-AL-Atalaia
BR-AL-Cajueiro,1,BR-AL-Pindoba
BR-AL-Campestre,40,BR-AL-Jacuipe
BR-AL-Campestre,28,BR-AL-Jundia
BR-AL-Campestre,19,BR-AL-NovoLino
BR-AL-Campestre,13,BR-PE-AguaPreta
BR-AL-CampoAlegre,37,BR-AL-JequiaPraia
BR-AL-CampoAlegre,18,BR-AL-Junqueiro
BR-AL-CampoAlegre,15,BR-AL-Anadia
BR-AL-CampoAlegre,11,BR-AL-LimoeiroAnadia
BR-AL-CampoAlegre,11,BR-AL-SaoMiguelCampos
BR-AL-CampoAlegre,9,BR-AL-TeotonioVilela
BR-AL-CampoGrande,27,BR-AL-OlhoAguaGrande
BR-AL-CampoGrande,26,BR-AL-FeiraGrande
BR-AL-CampoGrande,18,BR-AL-GirauPonciano
BR-AL-CampoGrande,16,BR-AL-PortoRealColegio
BR-AL-CampoGrande,13,BR-AL-Traipu
BR-AL-Canapi,26,BR-AL-MataGrande
BR-AL-Canapi,20,BR-AL-Inhapi
BR-AL-Canapi,20,BR-AL-Maravilha
BR-AL-Canapi,18,BR-AL-OuroBranco
BR-AL-Canapi,16,BR-PE-Itaiba
BR-AL-Capela,28,BR-AL-Cajueiro
BR-AL-Capela,26,BR-AL-Murici
BR-AL-Capela,19,BR-AL-Atalaia
BR-AL-Capela,16,BR-AL-Branquinha
BR-AL-Capela,11,BR-AL-Vicosa
BR-AL-Carneiros,33,BR-AL-SenadorRuiPalmeira
BR-AL-Carneiros,30,BR-AL-OlhoAguaFlores
BR-AL-Carneiros,20,BR-AL-SaoJoseTapera
BR-AL-Carneiros,17,BR-AL-SantanaIpanema
BR-AL-ChaPreta,42,BR-AL-Vicosa
BR-AL-ChaPreta,22,BR-PE-Correntes
BR-AL-ChaPreta,21,BR-AL-SantanaMundau
BR-AL-ChaPreta,15,BR-AL-Quebrangulo
BR-AL-CoiteNoia,48,BR-AL-Igaci
BR-AL-CoiteNoia,24,BR-AL-Taquarana
BR-AL-CoiteNoia,15,BR-AL-Arapiraca
BR-AL-CoiteNoia,13,BR-AL-LimoeiroAnadia
BR-AL-ColoniaLeopoldina,27,BR-AL-NovoLino
BR-AL-ColoniaLeopoldina,26,BR-PE-Maraial
BR-AL-ColoniaLeopoldina,19,BR-AL-JoaquimGomes
BR-AL-ColoniaLeopoldina,15,BR-PE-Xexeu
BR-AL-ColoniaLeopoldina,14,BR-AL-Ibateguara
BR-AL-CoqueiroSeco,37,BR-AL-MarechalDeodoro
BR-AL-CoqueiroSeco,32,BR-AL-SantaLuziaNorte
BR-AL-CoqueiroSeco,31,BR-AL-Maceio
BR-AL-Coruripe,24,BR-AL-JequiaPraia
BR-AL-Coruripe,23,BR-AL-Penedo
BR-AL-Coruripe,18,BR-AL-TeotonioVilela
BR-AL-Coruripe,9,BR-AL-FelizDeserto
BR-AL-Craibas,35,BR-AL-Igaci
BR-AL-Craibas,25,BR-AL-GirauPonciano
BR-AL-Craibas,15,BR-AL-Arapiraca
BR-AL-Craibas,13,BR-AL-MajorIsidoro
BR-AL-Craibas,6,BR-AL-Jaramataia
BR-AL-Craibas,5,BR-AL-LagoaCanoa
BR-AL-DelmiroGouveia,30,BR-BA-PauloAfonso
BR-AL-DelmiroGouveia,18,BR-AL-OlhoAguaCasado
BR-AL-DelmiroGouveia,16,BR-AL-Pariconha
BR-AL-DelmiroGouveia,14,BR-AL-AguaBranca
BR-AL-DelmiroGouveia,11,BR-PE-Jatoba
BR-AL-DelmiroGouveia,11,BR-SE-CanindeSaoFrancisco
BR-AL-DelmiroGouveia,4,BR-BA-Gloria
BR-AL-DoisRiachos,31,BR-AL-SantanaIpanema
BR-AL-DoisRiachos,20,BR-PE-Iati
BR-AL-DoisRiachos,19,BR-AL-MajorIsidoro
BR-AL-DoisRiachos,14,BR-AL-Cacimbinhas
BR-AL-DoisRiachos,13,BR-AL-Olivenca
BR-AL-DoisRiachos,2,BR-PE-AguasBelas
BR-AL-EstrelaAlagoas,30,BR-AL-PalmeiraIndios
BR-AL-EstrelaAlagoas,21,BR-AL-Cacimbinhas
BR-AL-EstrelaAlagoas,18,BR-AL-Igaci
BR-AL-EstrelaAlagoas,17,BR-AL-MinadorNegrao
BR-AL-EstrelaAlagoas,14,BR-PE-BomConselho
BR-AL-FeiraGrande,28,BR-AL-SaoSebastiao
BR-AL-FeiraGrande,24,BR-AL-CampoGrande
BR-AL-FeiraGrande,20,BR-AL-Arapiraca
BR-AL-FeiraGrande,20,BR-AL-LagoaCanoa
BR-AL-FeiraGrande,8,BR-AL-PortoRealColegio
BR-AL-FelizDeserto,31,BR-AL-Coruripe
