dust_b16h,dust_city,dust_city_label,merge_score,receptor_b16h,receptor_city
25fH,1504950,BR-PA-NovaEsperancaPiria,227,25fH,1506559
268M,1502509,BR-PA-Chaves,337,268M,1500305
303V,2108256,BR-MA-PedroRosario,207,303V,2108603
490V,1200203,BR-AC-CruzeiroSul,858,490V,1301654
55eH,5106802,BR-MT-PortoGauchos,427,55eH,5107941
643V,1707652,BR-TO-Figueiropolis,209,643V,1708205
65eR,1700400,BR-TO-Almas,398,65eR,1717909
6efH,1506187,BR-PA-RondonPara,214,6efH,1503093
75fR,2706703,BR-AL-Penedo,583,75fbZ,2806404
794V,2210391,BR-PI-SaoMiguelFidalgo,436,794V,2210805
7c8R,2208205,BR-PI-PioIx,498,7c8R,2208106
7dcV,2502003,BR-PB-BelemBrejoCruz,999,7dcfZ,2405603
a14R,3509106,BR-SP-Caiua,990,a14R,3541505
a2eR,5007935,BR-MS-Sonora,337,a2eR,5006408
a32R,5002951,BR-MS-ChapadaoSul,365,a32R,5006275
a69R,3159803,BR-MG-SantaVitoria,1000,a69R,5209150
aa8R,5105903,BR-MT-Nobres,981,aa8R,5106224
ac4R,5221908,BR-GO-Varjao,183,ac4aT,5212600
acaM,5215207,BR-GO-NovoBrasil,639,acaM,5208905
afaM,1716208,BR-TO-Parana,780,afaM,5205307
b13H,3301108,BR-RJ-Cantagalo,195,b13H,3304706
b2cR,3104809,BR-MG-AugustoLima,375,b2cbZ,3160603
b84R,3137304,BR-MG-LagoaPatos,270,b84R,3162252
b8dH,3142007,BR-MG-Mirabela,379,b8dH,3143302
b98V,3127800,BR-MG-GraoMogol,359,b98V,3154507
ba4H,3132107,BR-MG-Itacarambi,203,ba4H,3135209
d1aR,4304200,BR-RS-Candelaria,356,d1abZ,4313391
d31H,4304200,BR-RS-Candelaria,534,d310J,4322533
dceH,4125506,BR-PR-SaoJosePinhais,597,dce1J,4119509
de5H,3514809,BR-SP-Eldorado,851,de5H,3521200
25e9Z,1501600,BR-PA-Bonito,394,25e9Z,1505403
25ecJ,1505403,BR-PA-Ourem,1000,25eV,1502301
2714N,1506609,BR-PA-SantaMariaPara,237,271M,1503200
3011Y,2108504,BR-MA-PindareMirim,486,301H,2106904
304bT,2107456,BR-MA-OlindaNovaMaranhao,237,304bT,2106508
3062N,2110500,BR-MA-SaoBento,223,3062N,2111706
3068T,2108405,BR-MA-PeriMirim,261,3068T,2107605
30c6S,2103125,BR-MA-CentralMaranhao,258,30cM,2104909
3154K,2202539,BR-PI-CaraubasPiaui,198,315M,2202000
3443Y,2308906,BR-CE-Morrinhos,382,344H,2307809
3454N,2310258,BR-CE-Paraipaba,393,345M,2313500
6552S,1715150,BR-TO-NovoAlegre,278,6552S,1705557
6da3N,1718550,BR-TO-Riachinho,374,6daH,1717206
6db0P,1720002,BR-TO-SantaTerezinhaTocantins,406,6dbH,1713809
6db9S,1714302,BR-TO-Nazare,305,6db9S,1712454
6f1bY,1720804,BR-TO-SitioNovoTocantins,996,6f1bY,1720200
6f25Y,1702554,BR-TO-Augustinopolis,274,6f25Y,1703891
6f25Y,1718808,BR-TO-Sampaio,592,6f25Y,1703891
7387J,2200707,BR-PI-AnisioAbreu,239,738M,2205532
7473T,2927507,BR-BA-SantaBarbara,483,7473T,2931103
7495S,2929370,BR-BA-SaoJoseJacuipe,398,7495S,2933059
74beN,2910859,BR-BA-Filadelfia,800,74bV,2930105
7503P,2910057,BR-BA-DiasAvila,355,750H,2921005
750bZ,2902054,BR-BA-Aracas,309,750R,2900702
751aS,2907004,BR-BA-CardealSilva,210,751R,2910503
75c8Z,2806206,BR-SE-Salgado,827,75cR,2802106
75e1S,2806701,BR-SE-SaoCristovao,509,75e1S,2804805
75e2S,2801009,BR-SE-CampoBrito,974,75e2S,2802908
75e4Y,2804003,BR-SE-Maruim,636,75e4Y,2806602
75e7T,2801504,BR-SE-Carmopolis,1000,75e7T,2803302
