code_b16h,jurisd_local_id,isolabel_ext
889H,2501609,BR-PB-BarraSantaRosa
a5eV,3141306,BR-MG-Medeiros
ac3M,5207352,BR-GO-Edealina
bceM,2905602,BR-BA-Camacan
3054S,2109304,BR-MA-PresidenteVargas
74d1Y,2903276,BR-BA-Barrocas
750eJ,2925204,BR-BA-Pojuca
7595T,2807600,BR-SE-Umbauba
75b2Z,2900355,BR-BA-Adustina
75caP,2806701,BR-SE-SaoCristovao
75e9N,2802007,BR-SE-DivinaPastora
777dP,2709400,BR-AL-Vicosa
7d3cZ,2505907,BR-PB-Emas
7d3dK,2511301,BR-PB-Pianco
7d78S,2512606,BR-PB-Quixaba
7de4K,2514651,BR-PB-SaoJoseBrejoCruz
7dfeS,2404705,BR-RN-Ipanguacu
820eK,2700607,BR-AL-BarraSaoMiguel
82a1S,2603108,BR-PE-Cachoeirinha
881bP,2506806,BR-PB-Inga
884aK,2607653,BR-PE-Itambe
884bP,2500601,BR-PB-Alhandra
88c1N,2501401,BR-PB-BaiaTraicao
a1f4T,3552304,BR-SP-SudMennucci
a47dK,3529302,BR-SP-Matao
a4b8Y,3557105,BR-SP-Votuporanga
a4d2T,3533254,BR-SP-Novais
a553Y,3152501,BR-MG-PousoAlegre
a562P,3550803,BR-SP-SaoSebastiaoGrama
a5adS,3508207,BR-SP-Buritizal
a5c0Y,3134806,BR-MG-Jacui
a6a7P,5205059,BR-GO-Castelandia
a6a7Y,5213004,BR-GO-Maurilandia
a9dbS,5212006,BR-GO-Jaupaci
ac92J,5221502,BR-GO-Turvania
acc6K,5219738,BR-GO-SantoAntonioGoias
ae6bY,5200555,BR-GO-AltoHorizonte
b01fK,3166402,BR-MG-Seritinga
b04eN,3107505,BR-MG-BomJardimMinas
b07dT,3141603,BR-MG-Merces
b090S,3130408,BR-MG-Ijaci
b0ffS,3155702,BR-MG-RioPiracicaba
b10bJ,3116209,BR-MG-Chiador
b127Z,3115300,BR-MG-Cataguases
b16aY,3204807,BR-ES-SaoJoseCalcado
b18dZ,3124005,BR-MG-Ervalia
b19fY,3153509,BR-MG-AltoJequitiba
b1aaZ,3102308,BR-MG-Alvinopolis
b1c4P,3200508,BR-ES-Apiaca
b1eeN,3116001,BR-MG-Chale
b207P,3138302,BR-MG-LeandroFerreira
b34cP,3159506,BR-MG-SantaRitaItueto
b3c5N,3115706,BR-MG-CentralMinas
d1eaZ,4308805,BR-RS-GeneralCamara
d2f3Z,4305900,BR-RS-CoronelBicaco
d322T,4304101,BR-RS-CamposBorges
d326S,4304101,BR-RS-CamposBorges
d3c2Z,4316733,BR-RS-SantaCeciliaSul
d3e2P,4318424,BR-RS-SaoJoaoUrtiga
d6e5K,4215901,BR-SC-SaoBonifacio
d90bP,4218855,BR-SC-UniaoOeste
d92cJ,4121604,BR-PR-Renascenca
d99eZ,4128658,BR-PR-Virmond
db91N,4107504,BR-PR-EngenheiroBeltrao
dbbcJ,4124202,BR-PR-SantoAntonioCaiua
dbbeK,4124202,BR-PR-SantoAntonioCaiua
dbc1S,4103206,BR-PR-BomSucesso
dbe8K,4123600,BR-PR-SantaInes
dc3fK,4215802,BR-SC-SaoBentoSul
dc64Y,4210605,BR-SC-Massaranduba
de47J,3522158,BR-SP-Itaoca
df6bK,3548708,BR-SP-SaoBernardoCampo
df8bK,3540507,BR-SP-Porangaba
dfaeZ,3521101,BR-SP-Ipeuna
dfebZ,3551603,BR-SP-SerraNegra
dffcN,3147303,BR-MG-Paraisopolis
ea29S,3520400,BR-SP-Ilhabela
eab9N,3549607,BR-SP-SaoJoseBarreiro
eaf9N,3301702,BR-RJ-DuqueCaxias
