isolabel_ext,status,cover,overlay
BR-AC-Acrelandia,0,471h 471r 471v 473h 473m 474r 476h,
BR-AC-AssisBrasil,0,41dv 41fm 448r 448v 449r 44ah 44am 44ar 44av 44bh 44bm 44br 461h,
BR-AC-Brasileia,0,44am 44bh 44bm 44br 44bv 44cr 44cv 44eh 44em 44er 461m,
BR-AC-Bujari,0,465r 465v 467h 467m 467r 467v 46dh 46dm 472h,
BR-AC-Capixaba,0,44fv 45ar 45av 465m 470h,
BR-AC-CruzeiroSul,0,42q 43q 48g 49g,
BR-AC-Epitaciolandia,0,44cv 44dr 44eh 44em 44ev 44fh,
BR-AC-Feijo,0,43g 43q 46q 49g 4cg,
BR-AC-Jordao,0,430v 431r 432m 432v 433h 433m 433r 433v 438m 439h 439m 439r 439v,
BR-AC-MancioLima,0,481m 481v 483m 484h 484m 484r 484v 485h 485m 485r 486h,
BR-AC-ManoelUrbano,0,41fv 435h 435m 435v 437m 437v 44ar 460h 460r 460v 462h 462m 462r 462v 463r 468m 468v 469h 469m 469r 469v 46bh 46bm 46cr,
BR-AC-MarechalThaumaturgo,0,427h 427m 427r 427v 42dh 42dm 42dv 432h 432m 432r 432v 433r 438h 438m 438v 439h,
BR-AC-PlacidoCastro,0,45ar 45av 470h 470m 470v 471h 471r,
BR-AC-PortoAcre,0,467m 467v 470v 472h 472m 472r 472v,
BR-AC-PortoWalter,0,42cv 42dh 42dm 42dr 42dv 42em 42fh 42fm 42fv 438h 438m 438r 438v 43ah 43am,
BR-AC-RioBranco,0,44bv 461m 464h 464m 464r 464v 465h 465m 465r 465v 466m 466v 467h 467m 467r 470h 470r 470v 472h 472m,
BR-AC-RodriguesAlves,0,42er 42ev 42fr 42fv 484h 484m 485h 485m,
BR-AC-SantaRosaPurus,0,434v 435h 435m 435r 435v 436m 437h 437m 437r 437v 43dm 462h 462r 462v 468h 468m,
BR-AC-SenaMadureira,0,41q 44q 46g 46q,
BR-AC-SenadorGuiomard,0,470h 470m 470r 470v 471r 472m 472v 473h,
BR-AC-Tarauaca,0,438m 438v 439h 439m 439r 439v 43am 43av 43bh 43bm 43br 43bv 43ch 43cr 43cv 43dr 43eh 43em 43er 43ev 43fh 43fr 490m 491h 491m 494h 494m 495h,
BR-AC-Xapuri,0,44bv 44dr 44eh 44em 44er 44ev 44fh 44fm 44fr 44fv 461m 464h 464m 465h 465m,
BR-AL-AguaBranca,0,7739p 7739t 7739y 7739z 773bj 773bk 773bn 773bp 773bs 773bt 773by 773bz 773ck 773cs 773ct 773cy 773ej 773ek 773en 773ep 773es 773et 7791j 7791k 7791n 7791p 7791z 7794j,
BR-AL-Anadia,0,775fy 775fz 7775n 7775p 7775z 820as 820at 820ay 820az 8220j 8220k 8220n 8220p 8220s,
BR-AL-Arapiraca,0,775bn 775bp 775bs 775bt 775by 775bz 775cs 775ct 775cy 775cz 775ej 775ek 775en 775ep 775es 775et 775ez 7771j 7771n 7771p 7774j 7774k,
BR-AL-Atalaia,0,8220p 8220y 8220z 8221k 8221p 8221s 8221t 8221y 8221z 8222n 8222p 8223j 8223k 8223n 8223p 8223z 8224k 8224s 8224t 8224y 8226j 8226k 8226n 8226p 8226s 8226t 8226y 8226z,
BR-AL-BarraSantoAntonio,0,8232s 8232t 8232y 8232z 8233k 8233p 8233s 8233t 8233y 8233z 8239n,
BR-AL-BarraSaoMiguel,0,820cs 820ct 820cy 820cz 820dt 820ej 820ek 820en 820fj,
BR-AL-Batalha,0,774et 774ey 774ez 774fk 774fs 774ft 774fy 774fz 7764j 7764k 7764n 7764p 7764y 7764z 7765j 7765k 7765n 7765s 7765t,
BR-AL-Belem,0,7774y 7774z 7775s 7775t 7776n 7776p 7777j 7777k,
BR-AL-BeloMonte,0,7749y 774bn 774bp 774by 774bz 774ct 774cy 774cz 774ej 774ek 774en 774ep 774es 774et 774ey 774ez 774fj 774fk 774fs 7764j,
BR-AL-BocaMata,0,820ay 820az 820bs 820bt 820by 820bz 8220n 8220p 8220z 8221j 8221k 8221n,
BR-AL-Branquinha,0,8229t 8229y 8229z 822bj 822bn 822cs 822ct 822cy 822ej 822en 822ep 822fk,
BR-AL-Cacimbinhas,0,7767p 7767y 7767z 776dn 776dp 7772j 7772k 7772n 7772p 7772s 7772t 7772y 7772z 7778j 7778k 7778n,
BR-AL-Cajueiro,0,8222p 8222z 8223k 8223s 8223t 8223y 8223z 8229j 8229k 8229n 8229p,
BR-AL-Campestre,0,8291t 8291y 8291z 8293j 8293k 8293n 8293p 8293z,
BR-AL-CampoAlegre,0,775dy 775dz 775fn 775fp 775fz 8208j 8208k 8208p 8208s 8208t 8208y 8208z 820aj 820ak 820an 820ap 820as 820at 820az,
BR-AL-CampoGrande,0,7752y 7753s 7753t 7758n 7758p 7758z 7759j 7759k 7759n 7759p 7759s 7759t 7759z,
BR-AL-Canapi,0,773v 776r 779m 77ch,
BR-AL-Capela,0,8223k 8223p 8223s 8223y 8223z 8226s 8226t 8229k 8229n 8229p 8229s 8229t 8229y 8229z 822bj 822cj 822ck 822cs,
BR-AL-Carneiros,0,7762y 7762z 7763k 7763s 7763t 7763y 7763z 7768n 7769j 7769n,
BR-AL-ChaPreta,0,8228k 8228s 8228t 8228y 8228z 8229t 822aj 822ak 822an 822ap 822bj,
BR-AL-CoiteNoia,0,775et 7774j 7774k 7774n 7774p 7774s 7774t 7774y 7774z,
BR-AL-ColoniaLeopoldina,0,8285p 8285y 8285z 8287n 8287p 8290j 8290k 8290n 8290p 8290s 8290t 8290y 8290z 8292j 8292k 8292n,
BR-AL-CoqueiroSeco,0,820ft 820fy 8225j 8225n 8225p,
BR-AL-Coruripe,0,75fv 775m 80ar 820h 820r,
