selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,5,BR,br,2023-11-30,f
t,5,BR-AC,br;ac,2023-11-30,f
t,5,BR-AC,br;acre,2023-11-30,f
t,5,BR-AC,BR-12,2023-11-30,f
t,5,BR-AC-Acrelandia,br;acre;acrelandia,2023-11-30,f
t,5,BR-AC-Acrelandia,br-acrelandia,2023-11-30,f
t,5,BR-AC-Acrelandia,BR-1200013,2023-11-30,f
t,5,BR-AC-Acrelandia,br;ac;acrelandia,2023-11-30,f
t,5,BR-AC-AssisBrasil,br;ac;assis.brasil,2023-11-30,f
t,2,BR-AC-AssisBrasil,BR-AC-ABL,2022-10-05,t
t,5,BR-AC-AssisBrasil,br;ac;abl,2023-11-30,f
t,5,BR-AC-AssisBrasil,br;acre;assis.brasil,2023-11-30,f
t,5,BR-AC-AssisBrasil,br-assisbrasil,2023-11-30,f
t,5,BR-AC-AssisBrasil,BR-1200054,2023-11-30,f
t,5,BR-AC-AssisBrasil,BR-AC-ABL,2023-11-30,f
t,5,BR-AC-Brasileia,BR-1200104,2023-11-30,f
t,5,BR-AC-Brasileia,br;ac;bli,2023-11-30,f
t,5,BR-AC-Brasileia,br;ac;brasileia,2023-11-30,f
t,2,BR-AC-Brasileia,BR-AC-BLI,2022-10-05,t
t,5,BR-AC-Brasileia,br;acre;brasileia,2023-11-30,f
t,5,BR-AC-Brasileia,BR-AC-BLI,2023-11-30,f
t,5,BR-AC-Brasileia,br-brasileia,2023-11-30,f
t,5,BR-AC-Bujari,BR-1200138,2023-11-30,f
t,5,BR-AC-Bujari,br;acre;bujari,2023-11-30,f
t,5,BR-AC-Bujari,br;ac;bujari,2023-11-30,f
t,5,BR-AC-Bujari,br-bujari,2023-11-30,f
t,5,BR-AC-Capixaba,br;ac;capixaba,2023-11-30,f
t,5,BR-AC-Capixaba,br-capixaba,2023-11-30,f
t,5,BR-AC-Capixaba,BR-1200179,2023-11-30,f
t,5,BR-AC-Capixaba,br;acre;capixaba,2023-11-30,f
t,5,BR-AC-CruzeiroSul,BR-1200203,2023-11-30,f
t,2,BR-AC-CruzeiroSul,BR-AC-CZU,2022-10-05,t
t,5,BR-AC-CruzeiroSul,br;ac;czu,2023-11-30,f
t,5,BR-AC-CruzeiroSul,br;ac;cruzeiro.sul,2023-11-30,f
t,5,BR-AC-CruzeiroSul,BR-AC-CZU,2023-11-30,f
t,5,BR-AC-CruzeiroSul,br;acre;cruzeiro.sul,2023-11-30,f
t,5,BR-AC-Epitaciolandia,br;acre;epitaciolandia,2023-11-30,f
t,5,BR-AC-Epitaciolandia,BR-AC-EPT,2023-11-30,f
t,5,BR-AC-Epitaciolandia,br;ac;epitaciolandia,2023-11-30,f
t,5,BR-AC-Epitaciolandia,br;ac;ept,2023-11-30,f
