isolabel_ext,synonym
BR,br
BR-AC,br-12
BR-AC,br;ac
BR-AC,br;acre
BR-AC-Acrelandia,br;ac;acrelandia
BR-AC-Acrelandia,br-1200013
BR-AC-Acrelandia,br;acre;acrelandia
BR-AC-Acrelandia,br-acrelandia
BR-AC-AssisBrasil,br-1200054
BR-AC-AssisBrasil,br;ac;abl
BR-AC-AssisBrasil,br-ac-abl
BR-AC-AssisBrasil,br-assisbrasil
BR-AC-AssisBrasil,br;acre;assis.brasil
BR-AC-AssisBrasil,co-a-abl
BR-AC-AssisBrasil,br;ac;assis.brasil
BR-AC-Brasileia,br;acre;brasileia
BR-AC-Brasileia,br-brasileia
BR-AC-Brasileia,br-1200104
BR-AC-Brasileia,br;ac;brasileia
BR-AC-Brasileia,br-ac-bli
BR-AC-Brasileia,br;ac;bli
BR-AC-Brasileia,co-a-bli
BR-AC-Bujari,br;acre;bujari
BR-AC-Bujari,br;ac;bujari
BR-AC-Bujari,br-bujari
BR-AC-Bujari,br-1200138
BR-AC-Capixaba,br;acre;capixaba
BR-AC-Capixaba,br-capixaba
BR-AC-Capixaba,br-1200179
BR-AC-Capixaba,br;ac;capixaba
BR-AC-CruzeiroSul,co-a-czu
BR-AC-CruzeiroSul,br-ac-czu
BR-AC-CruzeiroSul,br;ac;cruzeiro.sul
BR-AC-CruzeiroSul,br-1200203
BR-AC-CruzeiroSul,br;ac;czu
BR-AC-CruzeiroSul,br;acre;cruzeiro.sul
BR-AC-Epitaciolandia,co-a-ept
BR-AC-Epitaciolandia,br-1200252
BR-AC-Epitaciolandia,br;acre;epitaciolandia
BR-AC-Epitaciolandia,br;ac;epitaciolandia
BR-AC-Epitaciolandia,br;ac;ept
BR-AC-Epitaciolandia,br-ac-ept
BR-AC-Epitaciolandia,br-epitaciolandia
BR-AC-Feijo,br-1200302
BR-AC-Feijo,br-feijo
BR-AC-Feijo,co-a-fjo
BR-AC-Feijo,br;ac;fjo
BR-AC-Feijo,br-ac-fjo
BR-AC-Feijo,br;ac;feijo
BR-AC-Feijo,br;acre;feijo
BR-AC-Jordao,br-1200328
BR-AC-Jordao,br;acre;jordao
BR-AC-Jordao,br-jordao
BR-AC-Jordao,br;ac;jordao
BR-AC-MancioLima,br;ac;mli
BR-AC-MancioLima,br-1200336
BR-AC-MancioLima,br;ac;mancio.lima
BR-AC-MancioLima,co-a-mli
BR-AC-MancioLima,br-ac-mli
BR-AC-MancioLima,br-manciolima
BR-AC-MancioLima,br;acre;mancio.lima
BR-AC-ManoelUrbano,br;acre;manoel.urbano
BR-AC-ManoelUrbano,br-manoelurbano
BR-AC-ManoelUrbano,br;ac;manoel.urbano
BR-AC-ManoelUrbano,br-1200344
BR-AC-MarechalThaumaturgo,br-1200351
BR-AC-MarechalThaumaturgo,br;acre;marechal.thaumaturgo
BR-AC-MarechalThaumaturgo,br;ac;marechal.thaumaturgo
BR-AC-MarechalThaumaturgo,br-marechalthaumaturgo
BR-AC-PlacidoCastro,br;ac;pcy
BR-AC-PlacidoCastro,br-ac-pcy
BR-AC-PlacidoCastro,br;ac;placido.castro
BR-AC-PlacidoCastro,br;acre;placido.castro
BR-AC-PlacidoCastro,br-1200385
BR-AC-PlacidoCastro,br-placidocastro
BR-AC-PlacidoCastro,co-a-pcy
BR-AC-PortoAcre,br-1200807
BR-AC-PortoAcre,br;ac;porto.acre
BR-AC-PortoAcre,br;acre;porto.acre
BR-AC-PortoAcre,br-portoacre
BR-AC-PortoWalter,br;ac;porto.walter
BR-AC-PortoWalter,br-1200393
BR-AC-PortoWalter,br-portowalter
BR-AC-PortoWalter,br;acre;porto.walter
BR-AC-RioBranco,br-ac-rbo
BR-AC-RioBranco,br-1200401
